Номер теста;Задержка сигнала (мкс);СРЕДНЯЯ задержка сигнала (мкс)
1897;212;309
1898;215;309
1899;232;309
1900;201;309
1901;224;309
1902;231;309
1903;210;309
1904;221;309
1905;233;309
1906;204;309
1907;221;309
1908;198;308
1909;216;308
1910;219;308
1911;203;308
1912;208;308
1913;227;308
1914;202;308
1915;224;308
1916;220;308
1917;206;308
1918;215;308
1919;227;308
1920;203;308
1921;216;308
1922;223;308
1923;209;308
1924;217;308
1925;232;308
1926;202;308
1927;225;308
1928;226;308
1929;206;307
1930;215;307
1931;1768;308
1932;222;308
1933;699;308
1934;228;308
1935;210;308
1936;218;308
1937;705;308
1938;201;308
1939;213;308
1940;222;308
1941;688;308
1942;216;308
1943;225;308
1944;200;308
1945;688;308
1946;220;308
1947;202;308
1948;210;308
1949;707;309
1950;200;308
1951;212;308
1952;218;308
1953;685;309
1954;209;309
1955;232;308
1956;195;308
1957;685;309
1958;218;309
1959;203;309
1960;208;308
1961;699;309
1962;228;309
1963;208;309
1964;215;309
1965;709;309
1966;210;309
1967;217;309
1968;223;309
1969;683;309
1970;217;309
1971;227;309
1972;200;309
1973;691;309
1974;225;309
1975;205;309
1976;417;309
1977;211;309
1978;219;309
1979;229;309
1980;203;309
1981;234;309
1982;231;309
1983;209;308
1984;220;308
1985;202;308
1986;208;308
1987;222;308
1988;227;308
1989;209;308
1990;218;308
1991;231;308
1992;204;308
1993;221;308
1994;228;308
1995;211;308
1996;221;308
1997;201;308
1998;209;308
1999;222;308
2000;228;308
2001;211;308
2002;222;308
2003;202;308
2004;209;308
2005;224;307
2006;216;307
2007;233;307
2008;206;307
2009;211;307
2010;228;307
2011;261;307
2012;219;307
2013;224;307
2014;204;307
2015;208;307
2016;231;307
2017;202;307
2018;214;307
2019;219;307
2020;208;307
2021;216;307
2022;225;307
2023;202;307
2024;224;307
2025;220;307
2026;210;307
2027;211;306
2028;229;306
2029;233;306
2030;212;306
2031;735;307
2032;681;307
2033;209;307
2034;223;307
2035;238;307
2036;687;307
2037;219;307
2038;230;307
2039;211;307
2040;692;307
2041;227;307
2042;211;307
2043;219;307
2044;229;307
2045;219;307
2046;230;307
2047;212;307
2048;217;307
2049;233;307
2050;201;306
2051;222;306
2052;233;306
2053;213;306
2054;217;306
2055;231;306
2056;205;306
2057;226;306
2058;227;306
2059;213;306
2060;216;306
2061;241;306
2062;212;306
2063;223;306
2064;237;306
2065;210;306
2066;218;306
2067;234;306
2068;211;306
2069;224;306
2070;198;306
2071;211;306
2072;695;306
2073;214;306
2074;209;306
2075;230;306
2076;681;306
2077;213;306
2078;218;306
2079;233;306
2080;685;306
2081;962;306
2082;215;306
2083;212;306
2084;225;306
2085;203;306
2086;206;306
2087;219;306
2088;228;306
2089;212;306
2090;697;306
2091;235;306
2092;205;306
2093;219;306
2094;701;306
2095;209;306
2096;220;306
2097;231;306
2098;688;306
2099;223;306
2100;226;306
2101;206;306
2102;691;306
