Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
4198;1640;1018;3589;1437;251949;250421
4199;1582;1018;3581;1438;252000;250421
4200;15;1018;14;1437;250002;250421
4201;1557;1018;3555;1438;252000;250421
4202;15;1018;18;1438;250006;250421
4203;15;1018;9;1437;249997;250421
4204;5558;1019;17;1437;244460;250420
4205;11;1019;3510;1437;253502;250421
4206;7;1018;9;1437;250006;250420
4207;15;1018;3502;1437;253490;250421
4208;15;1018;3502;1438;253490;250422
4209;1479;1018;9;1438;248533;250421
4210;15;1018;3473;1438;253461;250422
4211;1467;1018;18;1438;248554;250422
4212;7;1018;3443;1438;253440;250422
4213;1446;1018;13;1438;248567;250422
4214;7;1017;3426;1438;253423;250423
4215;15;1017;3427;1439;253415;250423
4216;12;1017;13;1439;250001;250423
4217;1409;1017;2943;1439;251534;250424
4218;11;1017;14;1439;250006;250424
4219;2400;1017;387;1438;247988;250423
4220;2375;1017;13;1438;247640;250422
4221;2383;1018;378;1438;247997;250422
4222;7;1018;394;1437;250391;250422
4223;2358;1018;349;1437;247993;250421
4224;2350;1018;345;1437;247997;250421
4225;7;1018;328;1437;250325;250421
4226;12;1018;328;1436;250316;250421
4227;2325;1018;345;1436;248023;250420
4228;16;1018;307;1436;250295;250420
4229;2292;1018;18;1436;247729;250419
4230;7;1018;290;1435;250287;250419
4231;2350;1018;9;1435;247661;250419
4232;16;1018;269;1435;250257;250419
4233;15;1018;258;1434;250246;250419
4234;16;1017;9;1434;249997;250418
4235;2243;1018;249;1434;248006;250418
4236;15;1017;18;1433;250006;250418
4237;2226;1018;9;1433;247784;250417
4238;11;1017;9;1433;250001;250417
4239;15;1017;199;1432;250187;250417
4240;2202;1018;13;1432;247812;250416
4241;11;1017;9;1432;250001;250416
4242;15;1017;14;1431;250002;250416
4243;2169;1017;13;1431;247846;250416
4244;2193;1018;166;1431;247974;250415
